year_of_manufacture,manufacturer,model,mileage,body_type,transmission,drivetrain,exterior_colour,interior_colour,passengers,doors,fuel_type,price,city_consumption,highway_consumption,engine_displacement_L,engine_cylinders,engine_type
2019,Acura,MDX,85772.0,SUV,Automatic,4X4,silver,black,7,4,gasoline,37995,12.2,9.0,3.5,6.0,V-Engine
2019,Acura,RDX,65969.0,SUV,Automatic,4X4,white,black,5,4,gasoline,38989,11.3,9.1,2.0,4.0,Inline
2019,Acura,RDX,57124.0,SUV,Automatic,4X4,white,black,5,4,gasoline,38999,10.8,8.7,2.4,4.0,Inline
2020,Acura,TLX,31756.0,Sedan,Automatic,4X4,white,black,5,4,gasoline,39836,12.0,8.2,3.5,6.0,V-Engine
2020,Acura,RDX,102340.0,SUV,Automatic,4X4,silver,red,5,4,gasoline,39995,11.3,9.1,2.0,4.0,Inline
2020,Acura,RDX,25777.0,SUV,Automatic,4X4,black,black,5,4,gasoline,40788,11.0,8.6,2.4,4.0,Inline
2020,Acura,RDX,55635.0,SUV,Automatic,4X4,black,black,5,4,gasoline,42995,11.0,8.6,2.0,4.0,Inline
2021,Acura,RDX,92078.0,SUV,Automatic,4X4,white,black,5,4,gasoline,44995,11.15,8.85,2.0,4.0,Inline
2020,Acura,RDX,39100.0,SUV,Automatic,4X4,white,black,5,4,gasoline,44988,11.3,9.1,2.4,4.0,Inline
2020,Acura,MDX,48622.0,SUV,Automatic,4X4,black,red,7,4,gasoline,45995,12.2,9.5,3.5,6.0,V-Engine
2021,Acura,RDX,49050.0,SUV,Automatic,4X4,white,red,5,4,gasoline,46495,11.3,9.1,2.0,4.0,Inline
2022,Acura,RDX,14700.0,SUV,Automatic,4X4,metallic,red,5,4,gasoline,53995,11.3,9.1,2.0,4.0,Inline
2022,Acura,MDX,50845.0,SUV,Automatic,4X4,metallic,red,7,4,gasoline,60866,12.6,9.4,3.5,6.0,V-Engine
2022,Acura,MDX,45339.0,SUV,Automatic,4X4,blue,red,7,4,gasoline,61417,12.6,9.4,3.5,6.0,V-Engine
2005,Acura,TSX,316168.0,Sedan,Automatic,FWD,gray,black,5,4,gasoline,3000,10.6,7.1,2.4,4.0,Inline
2011,Acura,TSX,234000.0,Sedan,Manual,FWD,silver,black,5,4,gasoline,9500,9.9,6.8,2.4,4.0,Other
